model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_BAG_L1,-0.3134876887700471,-0.3197536127021197,root_mean_squared_error,0.06870317459106445,0.05002140998840332,1.194894790649414,0.06870317459106445,0.05002140998840332,1.194894790649414,1,True,7
LightGBM_r121_BAG_L1,-0.3138240727533951,-0.3168381168048163,root_mean_squared_error,0.03091573715209961,0.02724456787109375,3.2054715156555176,0.03091573715209961,0.02724456787109375,3.2054715156555176,1,True,83
RandomForest_r15_BAG_L1,-0.31396214992695276,-0.31485532943010114,root_mean_squared_error,0.04398822784423828,0.055806875228881836,0.879413366317749,0.04398822784423828,0.055806875228881836,0.879413366317749,1,True,77
NeuralNetFastAI_r145_BAG_L1,-0.3140478382090545,-0.30771294226394313,root_mean_squared_error,0.07016134262084961,0.08687043190002441,6.2369935512542725,0.07016134262084961,0.08687043190002441,6.2369935512542725,1,True,24
ExtraTrees_r4_BAG_L1,-0.3148199119466147,-0.3134805877912635,root_mean_squared_error,0.03802824020385742,0.05930352210998535,0.6964414119720459,0.03802824020385742,0.05930352210998535,0.6964414119720459,1,True,62
RandomForest_r16_BAG_L1,-0.3148335146004279,-0.31973303505262785,root_mean_squared_error,0.052258968353271484,0.06390643119812012,1.172868251800537,0.052258968353271484,0.06390643119812012,1.172868251800537,1,True,90
RandomForestMSE_BAG_L1,-0.3148335146004279,-0.31973303505262785,root_mean_squared_error,0.0686182975769043,0.06709837913513184,0.6538949012756348,0.0686182975769043,0.06709837913513184,0.6538949012756348,1,True,3
NeuralNetFastAI_BAG_L1,-0.3150705229034811,-0.3111597350366607,root_mean_squared_error,0.08746623992919922,0.06331682205200195,4.120089530944824,0.08746623992919922,0.06331682205200195,4.120089530944824,1,True,6
NeuralNetFastAI_r65_BAG_L1,-0.3165275678829702,-0.32042561183092616,root_mean_squared_error,0.06639814376831055,0.06125020980834961,3.9105446338653564,0.06639814376831055,0.06125020980834961,3.9105446338653564,1,True,63
NeuralNetTorch_r185_BAG_L1,-0.3165672378014652,-0.3204687331497008,root_mean_squared_error,0.11185050010681152,0.09108710289001465,5.141703367233276,0.11185050010681152,0.09108710289001465,5.141703367233276,1,True,74
LightGBMLarge_BAG_L1,-0.31776017335393913,-0.32685087804690655,root_mean_squared_error,0.03743457794189453,0.021984338760375977,6.22406268119812,0.03743457794189453,0.021984338760375977,6.22406268119812,1,True,9
NeuralNetTorch_r158_BAG_L1,-0.3180064967772124,-0.3229686252192005,root_mean_squared_error,0.13059735298156738,0.07582283020019531,12.184033632278442,0.13059735298156738,0.07582283020019531,12.184033632278442,1,True,47
NeuralNetFastAI_r95_BAG_L1,-0.3196069562502699,-0.31657174614798883,root_mean_squared_error,0.08948302268981934,0.1827559471130371,6.305782079696655,0.08948302268981934,0.1827559471130371,6.305782079696655,1,True,43
