NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;LOG_POP_TOTAL;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE_MULHER;PERC_RENDA_OUTRAS_FONTES;RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA_CRIANCAS;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2210706;Simões;PI;0.766667;0.95;0.55;0.151115;0.039026;0.78169;0.00088;0.338506;19.398642;17;9.571575;28737.14;10.265981;0.32456;0.58609;0.024202;0.143858;43.3;1200.0;59.28;0.51;7.84;64.24
2022;2210805;Simplício Mendes;PI;0.179661;0.894737;0.578947;0.114552;0.089244;0.789211;0.000999;0.308442;20.562771;15;9.537556;14987.82;9.61506;0.334937;0.552096;0.013327;0.145629;43.36;1212.0;46.57;0.57;9.56;52.9
2022;2210904;Socorro do Piauí;PI;0.0;0.9;0.5;0.062943;0.057624;0.875;0.0;0.38914;45.248869;9;8.328934;10537.79;9.262818;0.152794;0.237041;0.011477;0.113715;65.37;1200.0;71.64;0.57;8.23;58.06
2022;2210938;Sussuapara;PI;1.0;1.0;0.214286;0.463946;0.012245;0.521088;0.001361;0.375335;37.533512;10;8.735686;11506.75;9.350776;0.261268;0.492398;0.00912;0.122551;46.99;1200.0;47.17;0.46;8.43;49.59
2022;2210953;Tamboril do Piauí;PI;1.0;1.0;0.3125;0.133523;0.007102;0.857955;0.0;0.150685;73.059361;2;7.98956;11433.71;9.344408;0.209877;0.39227;0.01652;0.102284;51.4;1200.0;69.58;0.54;6.82;58.04
2022;2210979;Tanque do Piauí;PI;0.027027;1.0;0.5;0.220588;0.044118;0.698529;0.0;0.274194;64.516129;4;7.748029;15945.16;9.676974;0.325674;0.319172;0.008163;0.149425;63.76;1200.0;54.66;0.48;8.22;57.64
2022;2211001;Teresina;PI;0.115729;0.66188;0.900783;0.131163;0.037335;0.802675;0.00117;0.176931;13.993679;13;13.671988;29947.69;10.307241;0.472394;0.6559;0.007933;0.19022;24.13;1212.0;24.11;0.61;10.36;41.23
2022;2211100;União;PI;0.343675;0.958763;0.298969;0.07446;0.036829;0.86309;0.001441;0.201092;27.865556;7;10.739002;11199.74;9.323735;0.285582;0.525578;0.017642;0.162708;42.35;1212.0;56.56;0.52;8.57;59.55
2022;2211209;Uruçuí;PI;0.012232;0.888889;0.527778;0.136156;0.029585;0.825924;0.001798;0.132797;18.108652;7;10.134758;154894.1;11.950503;0.38547;0.595539;0.02556;0.152609;26.35;1212.0;40.87;0.53;8.2;54.79
2022;2211308;Valença do Piauí;PI;0.012658;0.827586;0.689655;0.16166;0.033096;0.80168;0.000509;0.2944;23.2;13;10.011445;14688.05;9.594857;0.38325;0.598771;0.010745;0.166813;40.41;1212.0;45.1;0.53;9.52;52.52
2022;2211357;Várzea Branca;PI;0.0;1.0;0.15;0.126308;0.026158;0.823617;0.0;0.298387;53.763441;6;8.528331;10409.5;9.25057;0.168905;0.27924;0.024259;0.11506;58.85;1212.0;70.02;0.57;7.94;59.93
2022;2211407;Várzea Grande;PI;0.0;1.0;0.666667;0.112882;0.049137;0.689243;0.001328;0.134328;33.58209;4;8.393442;10446.23;9.254092;0.285266;0.354988;0.014378;0.169419;57.14;1212.0;59.66;0.51;9.14;55.92
2022;2211506;Vera Mendes;PI;0.0;1.0;0.384615;0.155637;0.023284;0.808824;0.0;0.32967;71.428571;5;8.066521;11627.63;9.361225;0.148649;0.222472;0.015213;0.125307;77.02;1200.0;76.03;0.58;8.5;55.68
2022;2211605;Vila Nova do Piauí;PI;0.0;1.0;0.6;0.078947;0.009211;0.910526;0.0;0.621622;33.783784;18;7.984803;12714.14;9.450549;0.286179;0.340928;0.005376;0.125229;55.1;1200.0;61.1;0.6;7.63;43.73
2022;2211704;Wall Ferraz;PI;1.0;1.0;0.214286;0.065383;0.043588;0.887481;0.0;0.43;70.0;6;8.308938;10932.25;9.299564;0.125364;0.246828;0.031026;0.12671;72.11;1200.0;65.3;0.51;9.38;55.07
2022;2300101;Abaiara;CE;0.0;0.944444;0.277778;0.225653;0.005938;0.76247;0.004751;0.481481;23.809524;20;9.214233;12631.4;9.44402;0.269174;0.524599;0.024188;0.13;50.54;1200.0;62.26;0.48;9.7;59.84
2022;2300150;Acarape;CE;0.0;1.0;0.352941;0.059059;0.005005;0.933934;0.002002;0.278672;17.102616;16;9.548811;13082.41;9.4791;0.304095;0.536001;0.022607;0.180856;38.34;1212.0;44.77;0.43;9.14;54.67
2022;2300200;Acaraú;CE;0.017687;0.881356;0.508475;0.272877;0.011056;0.703834;0.011527;0.261688;11.687797;22;11.086211;18152.0;9.806591;0.277314;0.545373;0.014334;0.149285;39.29;1200.0;65.45;0.6;10.03;55.99
2022;2300309;Acopiara;CE;0.020635;0.9;0.38;0.221693;0.009532;0.767461;0.000986;0.207925;18.867925;11;10.713595;13437.84;9.505904;0.271521;0.394966;0.012181;0.136256;51.74;1200.0;62.77;0.57;9.94;55.18
2022;2300408;Aiuaba;CE;0.0;0.965517;0.172414;0.097476;0.008155;0.890874;0.000388;0.341077;30.62302;11;9.552298;10425.12;9.25207;0.270584;0.378196;0.014241;0.143581;57.08;1212.0;68.99;0.53;8.79;60.0
2022;2300507;Alcântaras;CE;0.0;1.0;0.227273;0.053344;0.003283;0.943373;0.0;0.360215;29.569892;12;9.338734;9303.37;9.138239;0.347051;0.549709;0.010889;0.148638;39.34;1200.0;51.49;0.46;9.43;58.4
2022;2300606;Altaneira;CE;1.0;1.0;0.352941;0.401316;0.013158;0.575658;0.009868;0.510204;34.693878;15;8.822175;12120.47;9.402733;0.267226;0.366834;0.016264;0.170683;55.66;1200.0;68.73;0.55;10.36;63.86
