number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
107,0.31187270220236096,2026-06-20 01:09:25.933374,2026-06-20 01:09:29.506213,0 days 00:00:03.572839,0.9309861172348712,43,0.005030463631865975,4,7.905379419449088,611,0.00021741612400989313,3.0162638821516353e-05,0.9058364997019649,0.010560717674278531,COMPLETE
108,0.3128945454094496,2026-06-20 01:09:29.506360,2026-06-20 01:09:33.619450,0 days 00:00:04.113090,0.9157670958769395,39,0.0060247062691543615,5,12.474046152742782,583,0.0006624336092149256,2.7075666292119904e-05,0.8946085147947934,0.010299506369437546,COMPLETE
109,0.31168749841732446,2026-06-20 01:09:33.619595,2026-06-20 01:09:37.136455,0 days 00:00:03.516860,0.8717781847663127,41,0.005891449799063985,4,7.525702743418366,610,0.0006838706705975356,6.907013210673325e-07,0.9186804085668344,0.010457837692009125,COMPLETE
110,0.311774876497225,2026-06-20 01:09:37.136600,2026-06-20 01:09:40.543281,0 days 00:00:03.406681,0.8765906625591732,41,0.005004163808884223,4,18.270257789690067,601,0.0021102179622282504,6.140074763537985e-05,0.9350156945663505,0.009239718817313322,COMPLETE
111,0.31244842302315967,2026-06-20 01:09:40.543423,2026-06-20 01:09:44.019593,0 days 00:00:03.476170,0.8724563933944272,41,0.005071935371214871,4,9.74546008457552,598,0.0025234343388833153,9.012796426445291e-05,0.9576989298375373,0.010809498896481841,COMPLETE
112,0.3116670037766659,2026-06-20 01:09:44.019737,2026-06-20 01:09:47.545533,0 days 00:00:03.525796,0.9025316221583912,35,0.006302089364304929,4,18.310023979463203,628,0.0007193918884863969,6.321549037494292e-07,0.9086555524841204,0.009785511945316287,COMPLETE
113,0.31193131217859815,2026-06-20 01:09:47.545677,2026-06-20 01:09:51.130142,0 days 00:00:03.584465,0.9021728739207766,35,0.006314717958134002,4,18.409679905098653,632,0.0011910451324516895,7.194787127534943e-05,0.9107107314638775,0.009589827314550848,COMPLETE
114,0.3118749348504767,2026-06-20 01:09:51.130293,2026-06-20 01:09:54.647056,0 days 00:00:03.516763,0.9032370948863259,35,0.006238119960383875,4,18.075023422273528,630,0.006265920060959374,5.0411510852192805e-05,0.913854578241589,0.009508502691231692,COMPLETE
115,0.31250302412398223,2026-06-20 01:09:54.647201,2026-06-20 01:09:57.776602,0 days 00:00:03.129401,0.8771684537880865,35,0.005855012410795711,5,19.78288468842149,526,0.006491078363222279,0.0002899094497910939,0.9403989105437969,0.01029750330820728,COMPLETE
116,0.3435196194027948,2026-06-20 01:09:57.776741,2026-06-20 01:10:00.610203,0 days 00:00:02.833462,0.8622257802963353,28,0.14159667408617552,4,17.94790248642727,608,0.000499068584976778,6.369852033858198e-07,0.92538867461747,0.008804248491014948,COMPLETE
