number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
92,0.31932265999723464,2026-06-20 01:13:23.888548,2026-06-20 01:13:24.664363,0 days 00:00:00.775815,tanh,0.007150606948783753,64,"(128,)",58,0.00037909139890229154,0.009233347264420811,COMPLETE
93,0.3218718974853865,2026-06-20 01:13:24.664469,2026-06-20 01:13:25.403062,0 days 00:00:00.738593,tanh,0.0032575511114042235,64,"(128,)",59,0.00038793173680283396,0.010392721263722145,COMPLETE
94,0.3194435857106401,2026-06-20 01:13:25.403175,2026-06-20 01:13:26.269145,0 days 00:00:00.865970,tanh,0.005596205704501306,64,"(128,)",53,0.00025140814711582517,0.008647971043916652,COMPLETE
95,0.3191732107509059,2026-06-20 01:13:26.269265,2026-06-20 01:13:27.108523,0 days 00:00:00.839258,tanh,0.00990397161620942,64,"(128,)",70,0.00033699374114128523,0.009366994829700923,COMPLETE
96,0.3225209272074563,2026-06-20 01:13:27.108641,2026-06-20 01:13:28.109966,0 days 00:00:01.001325,tanh,0.009726886040724216,64,"(128, 64, 32)",64,0.0003371774466183635,0.011887553091422398,COMPLETE
97,0.3193746935074596,2026-06-20 01:13:28.110092,2026-06-20 01:13:28.978030,0 days 00:00:00.867938,tanh,0.006874196889464943,64,"(128,)",37,0.0002533605009736757,0.00864610277613736,COMPLETE
98,0.31932663447191667,2026-06-20 01:13:28.978147,2026-06-20 01:13:29.815013,0 days 00:00:00.836866,tanh,0.004230941638429678,64,"(128,)",72,0.0003230381938907175,0.009291190163104252,COMPLETE
99,0.3339668106598329,2026-06-20 01:13:29.815127,2026-06-20 01:13:30.533683,0 days 00:00:00.718556,tanh,0.004248413033758424,64,"(64,)",72,0.0004427917609498619,0.005997661436121846,COMPLETE
100,0.3211259534966848,2026-06-20 01:13:30.533804,2026-06-20 01:13:31.414119,0 days 00:00:00.880315,tanh,0.005584116109160857,64,"(128,)",69,0.00020579404499569283,0.008820061047654808,COMPLETE
101,0.3191737377480427,2026-06-20 01:13:31.414233,2026-06-20 01:13:32.253470,0 days 00:00:00.839237,tanh,0.008452026419839151,64,"(128,)",75,0.0003295450989693826,0.009359471216484507,COMPLETE
102,0.31920531088311693,2026-06-20 01:13:32.253594,2026-06-20 01:13:33.090114,0 days 00:00:00.836520,tanh,0.008327858362901,64,"(128,)",76,0.00031669021072113374,0.00932884081111023,COMPLETE
103,0.3191790554615032,2026-06-20 01:13:33.090222,2026-06-20 01:13:33.996897,0 days 00:00:00.906675,tanh,0.008804192343514311,64,"(128,)",78,0.0003325578089941403,0.009360415705109875,COMPLETE
104,0.31920686731638936,2026-06-20 01:13:33.997024,2026-06-20 01:13:34.896325,0 days 00:00:00.899301,tanh,0.008383451272252268,64,"(128,)",82,0.0003355440698003035,0.009355014440106823,COMPLETE
105,0.3235643410845771,2026-06-20 01:13:34.896450,2026-06-20 01:13:35.683371,0 days 00:00:00.786921,tanh,0.008556742647141433,64,"(128,)",83,0.0004939066339182699,0.008819242835495174,COMPLETE
106,0.335800804879967,2026-06-20 01:13:35.683503,2026-06-20 01:13:37.414303,0 days 00:00:01.730800,relu,0.00819514667133648,16,"(128, 64)",77,0.0003285976874282172,0.013912558230414429,COMPLETE
107,0.32209898265549597,2026-06-20 01:13:37.414435,2026-06-20 01:13:38.106423,0 days 00:00:00.691988,tanh,0.006231354021421391,64,"(128,)",82,0.0005994215804320156,0.009261002785490151,COMPLETE
108,0.344863385990318,2026-06-20 01:13:38.106537,2026-06-20 01:13:39.007215,0 days 00:00:00.900678,tanh,0.0050799168996638975,64,"(32,)",77,0.0004055464705167239,0.0072055483966178314,COMPLETE
109,0.3202603972652908,2026-06-20 01:13:39.007343,2026-06-20 01:13:39.875001,0 days 00:00:00.867658,tanh,0.008429083575998695,64,"(128,)",85,0.00022329043045731008,0.00874816810263726,COMPLETE
110,0.31918310129108757,2026-06-20 01:13:39.875124,2026-06-20 01:13:40.777632,0 days 00:00:00.902508,tanh,0.009865343891213865,64,"(128,)",75,0.0002737401978337207,0.00899645341492087,COMPLETE
111,0.3192278889826522,2026-06-20 01:13:40.777757,2026-06-20 01:13:41.682356,0 days 00:00:00.904599,tanh,0.009966576369867643,64,"(128,)",75,0.0002704368076693521,0.009006145525946151,COMPLETE
112,0.31918349607271307,2026-06-20 01:13:41.682472,2026-06-20 01:13:42.599723,0 days 00:00:00.917251,tanh,0.009754884794423945,64,"(128,)",75,0.0002738960640725232,0.008995991354296426,COMPLETE
113,0.319294159795917,2026-06-20 01:13:42.599843,2026-06-20 01:13:43.453411,0 days 00:00:00.853568,tanh,0.009994001383108462,64,"(128,)",75,0.0002818578809318925,0.009354511812580955,COMPLETE
114,0.3192588275174491,2026-06-20 01:13:43.453533,2026-06-20 01:13:44.371418,0 days 00:00:00.917885,tanh,0.008988786947149637,64,"(128,)",80,0.000269830606285047,0.009007908311012952,COMPLETE
115,0.3219283757100515,2026-06-20 01:13:44.371539,2026-06-20 01:13:45.442684,0 days 00:00:01.071145,tanh,0.009604683114928618,64,"(128,)",75,0.00016162020505005047,0.008706294504331117,COMPLETE
116,0.3193022096042728,2026-06-20 01:13:45.442803,2026-06-20 01:13:46.325023,0 days 00:00:00.882220,tanh,0.009653193585029127,64,"(128,)",87,0.00025423081802274913,0.008650996943695649,COMPLETE
117,0.34860387292884315,2026-06-20 01:13:46.325138,2026-06-20 01:13:47.266456,0 days 00:00:00.941318,tanh,0.006998415504084695,128,"(64, 32)",79,0.00022949947546913735,0.014354775164956365,COMPLETE
118,0.3192739978170573,2026-06-20 01:13:47.266583,2026-06-20 01:13:48.182839,0 days 00:00:00.916256,tanh,0.009834511414309592,64,"(128,)",70,0.0002676192052428284,0.009013703625228684,COMPLETE
119,0.32109327616494804,2026-06-20 01:13:48.182959,2026-06-20 01:13:49.109123,0 days 00:00:00.926164,tanh,0.007856856088450732,64,"(128,)",81,0.00019996301815864426,0.008995993724222794,COMPLETE
120,0.3238857821889522,2026-06-20 01:13:49.109235,2026-06-20 01:13:50.029588,0 days 00:00:00.920353,tanh,0.006570994560795335,64,"(128, 64, 32)",71,0.00027038200623807185,0.00924444850563933,COMPLETE
121,0.3191243840069702,2026-06-20 01:13:50.029715,2026-06-20 01:13:50.884970,0 days 00:00:00.855255,tanh,0.009970410882800712,64,"(128,)",74,0.0003275125339591994,0.0093733867153006,COMPLETE
122,0.3191826737248116,2026-06-20 01:13:50.885093,2026-06-20 01:13:51.747438,0 days 00:00:00.862345,tanh,0.007783710768023205,64,"(128,)",70,0.0003275643995012109,0.009355235826271029,COMPLETE
123,0.3192630504619499,2026-06-20 01:13:51.747559,2026-06-20 01:13:52.600576,0 days 00:00:00.853017,tanh,0.0060708928845855424,64,"(128,)",77,0.0003169442398774967,0.009310158689958542,COMPLETE
124,0.3192524234566565,2026-06-20 01:13:52.600693,2026-06-20 01:13:53.455940,0 days 00:00:00.855247,tanh,0.00793018145450331,64,"(128,)",80,0.00034086788424301476,0.009348103200452365,COMPLETE
125,0.31923131660774345,2026-06-20 01:13:53.456066,2026-06-20 01:13:54.290248,0 days 00:00:00.834182,tanh,0.007569955426726651,64,"(128,)",74,0.00035067290145659145,0.00915394698812343,COMPLETE
126,0.3193247048931973,2026-06-20 01:13:54.290362,2026-06-20 01:13:55.146374,0 days 00:00:00.856012,tanh,0.005414824460783206,64,"(128,)",74,0.0003408012605709219,0.009325853767052297,COMPLETE
