number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
54,0.3124139019045528,2026-06-20 00:42:36.228079,2026-06-20 00:42:40.239445,0 days 00:00:04.011366,6,629,96,0.2200762476302207,0.0050465215621885,0.002500747412479321,0.010219818369439224,COMPLETE
55,0.31266022805446003,2026-06-20 00:42:40.239625,2026-06-20 00:42:47.561573,0 days 00:00:07.321948,7,736,86,0.13276770712888214,0.013316021846299899,0.003172715183594312,0.009719576833059447,COMPLETE
56,0.3122180111734722,2026-06-20 00:42:47.561757,2026-06-20 00:42:50.688144,0 days 00:00:03.126387,6,451,90,0.05044301449037495,0.009345989019378942,0.0015064312162819068,0.010086204005417366,COMPLETE
57,0.31222321577053386,2026-06-20 00:42:50.688316,2026-06-20 00:43:00.497899,0 days 00:00:09.809583,8,521,96,0.8680532126515875,0.007305118129485394,0.001022798185615639,0.0099268747657243,COMPLETE
58,0.3128937005806768,2026-06-20 00:43:00.498116,2026-06-20 00:43:07.667853,0 days 00:00:07.169737,7,678,86,0.014184141036046283,0.015061723152343338,0.004948528410104788,0.009219186938929962,COMPLETE
59,0.31208116880512426,2026-06-20 00:43:07.668045,2026-06-20 00:43:14.119804,0 days 00:00:06.451759,7,624,76,3.0434666512096387,0.0064480688106842024,0.0023966550266702894,0.009976966988930637,COMPLETE
60,0.31267612933634653,2026-06-20 00:43:14.119994,2026-06-20 00:43:16.979752,0 days 00:00:02.859758,5,595,90,0.09064826990383278,0.008646287319444794,0.006944938809083937,0.010826926559776606,COMPLETE
61,0.31211451309574545,2026-06-20 00:43:16.979923,2026-06-20 00:43:25.384584,0 days 00:00:08.404661,7,705,100,0.027890619038331104,0.008049396307415859,0.0010200471340913464,0.01077319114972473,COMPLETE
62,0.3130549466986467,2026-06-20 00:43:25.384802,2026-06-20 00:43:32.770382,0 days 00:00:07.385580,7,638,95,0.05199308184621639,0.012372063154761172,0.0014310831056234244,0.010455140937167262,COMPLETE
63,0.3121137253046792,2026-06-20 00:43:32.770603,2026-06-20 00:43:37.121074,0 days 00:00:04.350471,6,603,97,0.16426506003742836,0.009503936526275512,0.002055212631200052,0.010239384454347149,COMPLETE
64,0.31259681447856325,2026-06-20 00:43:37.121266,2026-06-20 00:43:47.364487,0 days 00:00:10.243221,8,562,92,0.03744081798625042,0.010081114525117396,0.0037155992612088306,0.009669852766785853,COMPLETE
65,0.3243733156874446,2026-06-20 00:43:47.364705,2026-06-20 00:43:54.679140,0 days 00:00:07.314435,7,684,83,0.01706177519011312,0.007402512927415822,8.081512853261758,0.010392103654418366,COMPLETE
66,0.3120322318474854,2026-06-20 00:43:54.679361,2026-06-20 00:43:59.943611,0 days 00:00:05.264250,6,818,98,0.4072178408081448,0.006315402949052441,0.011591402037868657,0.010243067629356402,COMPLETE
67,0.3182523831678362,2026-06-20 00:43:59.943801,2026-06-20 00:44:07.360299,0 days 00:00:07.416498,8,538,20,0.010192787988708474,0.008693781529977346,0.001840342347226516,0.011744781413139947,COMPLETE
68,0.3123202509573414,2026-06-20 00:44:07.360519,2026-06-20 00:44:15.696704,0 days 00:00:08.336185,7,731,91,0.003685667103461556,0.010766903839927408,0.0031194137517851724,0.009443627403962313,COMPLETE
69,0.3116959743905748,2026-06-20 00:44:15.696926,2026-06-20 00:44:20.895617,0 days 00:00:05.198691,6,797,86,0.0074186338606799405,0.007029587671208684,0.0012811773404937561,0.01032533835587583,COMPLETE
